case_id,qid,set,metric_source,ndcg10_end,ndcg10_mix,delta_ndcg10,recall10_end,recall10_mix,delta_recall10,first_rel_rank50_end,first_rel_rank50_mix,overlap10,overlap50,best_rel_rank_shift,token_count_a,token_count_b,len_ratio,endpoint_cos,r,delta_perp,cos_to_a,cos_to_b,doc_lang_mismatch_rate10_end,doc_lang_mismatch_rate10_mix,ascii_ratio10_end,ascii_ratio10_mix,label,text_a,text_b
CASE_0246,1085327,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,1,6,-9998.0,6,6,1.0,0.39777421951293945,0.5,1.854523823396903e-08,0.8359948474450013,0.8359947048492467,0.0,0.0,0.7582355535371794,0.7841644729135111,TranslationDivergence,what county is ridgway pa in,đường đua nằm ở quận nào
CASE_0246,1086594,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,12,1,5,32,-11.0,9,16,0.5625,0.61283940076828,0.5,1.8228316633894792e-08,0.8980088126405226,0.8980087462662831,0.0,0.0,0.7592109521725964,0.7514719840042104,Unclassified,what are valence electrons used by an element worksheet,các electron hóa trị được sử dụng bởi một bảng tính nguyên tố là gì
CASE_0246,1095121,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,6,23,-9998.0,10,12,0.8333333333333334,0.6906000375747681,0.5,1.5313814216710853e-08,0.9194019114157881,0.9194020410753811,0.0,0.0,0.7154885158226754,0.7286528698183655,Unclassified,how old to be to work at buffalo wild wings,bao nhiêu tuổi để làm việc ở cánh đồng hoang dã trâu
CASE_0246,1095874,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,47,1,4,36,-46.0,6,11,0.5454545454545454,0.810887336730957,0.5,1.3221725936318762e-08,0.9515480358176076,0.9515480358176076,0.0,0.0,0.7069292085265607,0.7324416659147103,Unclassified,average salary for firefighters in az,mức lương trung bình cho lính cứu hỏa tính bằng az
CASE_0246,1097223,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,0,7,-9998.0,7,10,0.7,0.6110612154006958,0.5,1.7801008667106544e-08,0.89751363730335,0.8975135708924935,0.0,0.0,0.6634525169579081,0.7231975669725564,Unclassified,how many digits account number wells fargo,có bao nhiêu chữ số số tài khoản còn xa
CASE_0246,230725,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,3,24,-9998.0,7,6,1.1666666666666667,0.6290284395217896,0.5,1.6743811670494324e-08,0.9025044526596815,0.9025044526596815,0.0,0.0,0.7509719388704126,0.7502577867839187,Unclassified,how far is cedar point from chicago,tuyết tùng cách Chicago bao xa
CASE_0246,249821,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,2,27,-9998.0,9,5,1.8,0.5705236196517944,0.5,2.0564858260740948e-08,0.8861500504804896,0.8861500504804896,0.0,0.0,0.7051737693645727,0.7069089193907965,TranslationDivergence,how long does a mri of the knee take,đầu gối mất bao lâu
CASE_0246,277701,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,4,30,-9998.0,8,11,0.7272727272727273,0.7649117708206177,0.5000000316926975,5.251921564308759e-08,0.9393912033404802,0.9393912033404802,0.0,0.0,0.759628654888126,0.7924831022728095,Unclassified,how many calories in publix chicken tender subway,bao nhiêu calo trong tàu điện ngầm gà mềm publix
CASE_0246,288702,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,7,35,-9998.0,8,12,0.6666666666666666,0.8027853730661122,0.5,1.3751467520251026e-08,0.9494170005059461,0.9494170005059461,0.0,0.0,0.7472266329989405,0.7464826691955714,Unclassified,how many miles between mobile and destin beach,bao nhiêu dặm giữa bãi biển di động và bãi biển destin
CASE_0246,299094,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,15,1,4,15,-14.0,6,9,0.6666666666666666,0.5186288334573705,0.5,1.680670003167961e-08,0.8713865236972141,0.8713864044879415,0.0,0.0,0.6745289812869281,0.6834668657075958,Unclassified,how many units for frown lines,có bao nhiêu đơn vị cho đường cau mày
CASE_0246,412319,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,19,1,5,23,-18.0,8,11,0.7272727272727273,0.6660836935043335,0.5,1.7685845676851386e-08,0.9127112658695317,0.9127112658695317,0.0,0.0,0.7316310125838962,0.7399605003072478,Unclassified,is hocking college in ohio a technical school,đang theo học đại học ở ohio một trường kỹ thuật
CASE_0246,424408,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,15,1,2,23,-14.0,7,11,0.6363636363636364,0.7653385996818542,0.5,1.2049442332795479e-08,0.9395048024790329,0.9395048024790329,0.0,0.0,0.8092191309610538,0.8138266953615642,Unclassified,"is spirit airlines grounded in houston, tx","là hãng hàng không linh có căn cứ ở houston, tx"
CASE_0246,880766,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,0,5,-9998.0,6,5,1.2,0.5863090753555298,0.5,1.62919064905509e-08,0.8905922026463059,0.8905922026463059,0.0,0.0,0.7001679207089004,0.7465062671128735,Unclassified,what nationality is male name ish,quốc tịch nam là gì
CASE_0246,927196,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,0,18,-9998.0,12,16,0.75,0.7556938383396767,0.5,1.3255516684296254e-08,0.9369349172519291,0.9369348496232972,0.0,0.0,0.6973320595989874,0.7228302047262524,Unclassified,what year did they start to require act exam for college admissions,năm nào họ bắt đầu yêu cầu thi hành vi để được tuyển sinh đại học
