case_id,qid,set,metric_source,ndcg10_end,ndcg10_mix,delta_ndcg10,recall10_end,recall10_mix,delta_recall10,first_rel_rank50_end,first_rel_rank50_mix,overlap10,overlap50,best_rel_rank_shift,token_count_a,token_count_b,len_ratio,endpoint_cos,r,delta_perp,cos_to_a,cos_to_b,doc_lang_mismatch_rate10_end,doc_lang_mismatch_rate10_mix,ascii_ratio10_end,ascii_ratio10_mix,label,text_a,text_b
CASE_0007,884533,worst,evaluate_perquery,100.0,38.68528072345416,-61.31471927654584,100.0,100.0,0.0,1,5,8,45,4.0,5,6,0.8333333333333334,0.5375443421330656,0.7000000322218202,7.276430125102706e-08,0.7533937410238232,0.9594685312790795,0.0,0.0,0.08764272310100785,0.09359074333474236,RankDrop,ما هو جزء القولون السيني,乙状结肠是哪个部分
CASE_0007,1000678,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,8,45,2.0,5,6,0.8333333333333334,0.5604231357574463,0.7000000677977593,6.941149166550531e-08,0.7666771950426201,0.9613994092888,0.0,0.0,0.05733314390586726,0.0713575341497697,RankDrop,أين اكتشف القبطان جيمس طبخ؟,詹姆斯库克船长去哪里探索了？
CASE_0007,257885,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,9,45,2.0,11,11,1.0,0.9433472156524658,0.6999999408192471,4.257517360883867e-08,0.9719763273286973,0.994912047925444,0.0,0.0,0.06866138504568634,0.07597845821641802,RankDrop,كم من الوقت تستغرق معالجة طلبك للحصول على مزايا التقاعد SSA؟,处理您的 SSA 退休福利申请需要多长时间？
CASE_0007,704236,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,7,35,2.0,6,7,0.8571428571428571,0.7431715726852417,0.7000000348119476,6.06325301077959e-08,0.8683920358392409,0.977156844512629,0.0,0.0,0.028520679548415105,0.007407407407407407,RankDrop,ما هو خط القطع على السيارة,什么是汽车上的装饰线
CASE_0007,81075,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,7,36,2.0,4,7,0.5714285714285714,0.5304917413289393,0.6999999746097552,3.611535603909033e-08,0.7492725662134381,0.9588756794786585,0.0,0.0,0.045065922352616174,0.05199661542192311,RankDrop,يمكنك تبييض الطوب بلون,你能用颜色粉刷砖吗
CASE_0007,866139,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,7,40,2.0,6,6,1.0,0.6580452919006348,0.6999999477083079,6.475442404507703e-08,0.8219424477808205,0.9697496309520673,0.0,0.0,0.01931984772769942,0.009457739930504574,RankDrop,ما هو نوع حساب توزيعات الأرباح؟,什么样的账户是股息？
CASE_0007,987791,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,9,45,2.0,5,11,0.45454545454545453,0.8429461717605591,0.6999999240965401,5.761084054256571e-08,0.9209547932050457,0.9859567177238219,0.0,0.0,0.29921209554331674,0.28105491397150106,TranslationDivergence,من أدار المكسيك لعقود كديكتاتور؟,谁以独裁者的身份统治了墨西哥几十年？
CASE_0007,993987,worst,evaluate_perquery,100.0,50.0,-50.0,100.0,100.0,0.0,1,3,8,40,2.0,11,12,0.9166666666666666,0.7980723977088928,0.7,4.09875369200563e-08,0.8975544642589565,0.9819850113619768,0.0,0.0,0.01588235294117647,0.04106757297081167,RankDrop,ما نوع العضلات التي تشارك في وظيفة الجهاز الهضمي والأوعية الدموية؟,哪种肌肉类型与消化道和血管的功能有关？
CASE_0007,428113,worst,evaluate_perquery,43.06765580733931,0.0,-43.06765580733931,100.0,0.0,-100.0,4,13,6,38,9.0,9,11,0.8181818181818182,0.8138784170150757,0.6999999279447019,5.218053900080122e-08,0.9058405172841935,0.9833814332739348,0.0,0.0,0.004504593499950607,0.004504593499950607,RecallDrop,هل هناك فرق في الانقسام بين الخلايا الحيوانية والنباتية؟,动物细胞和植物细胞的有丝分裂有区别吗？
CASE_0007,1099636,worst,evaluate_perquery,38.68528072345416,0.0,-38.68528072345416,100.0,0.0,-100.0,5,15,8,44,10.0,11,7,1.5714285714285714,0.7715687019567908,0.6999999869534864,3.871154063972426e-08,0.8835510453348064,0.9796496551898799,0.0,0.0,0.003750893069778519,0.0,TranslationDivergence,كيف يمكن أن تؤثر إزالة الغابات بشكل مباشر على الكائنات الحية,森林砍伐如何直接影响生物体
