case_id,qid,condition,rank,docid,retrieval_score_raw,score,rel,doc_lang,snippet
CASE_0007,884533,endpoint,1,31718,0.7948,0.7948,1,zh,乙状结肠是降结肠之后、直肠之前的大肠部分。名称 sigmoid 的意思是 S 形（见 sigmoid；参见 sigmoid 窦）。乙状结肠壁肌肉发达，收缩以增加结肠内的压力，导致粪便进入直肠。
CASE_0007,884533,endpoint,2,6028403,0.791,0.791,0,zh,乙状结肠是大肠的一个弯曲的 S 形区域，是结肠的最后一段。它将粪便从降结肠运送到直肠和肛门。粪便储存在乙状结肠中，直到它们准备好通过肛管排出体外。
CASE_0007,884533,endpoint,3,4235202,0.7866,0.7866,0,zh,乙状结肠 乙状结肠是降结肠之后和直肠之前的大肠部分。名称 sigmoid 的意思是 S 形（见 sigmoid）。乙状结肠的壁是肌肉发达的，收缩以增加结肠内的压力，导致粪便进入直肠。
CASE_0007,884533,endpoint,4,2378491,0.7852,0.7852,0,zh,乙状结肠是大肠的末端，离直肠最近。肠道的这部分呈 S 形环的形式，通常长约 16 英寸（40.64 厘米）。
CASE_0007,884533,endpoint,5,3937056,0.7816,0.7816,0,zh,乙状结肠是大肠的末端，离直肠最近。肠道的这部分呈 S 形环的形式，通常长约 16 英寸（40.64 厘米）。它能够根据储存的粪便量膨胀和收缩，直到准备好从体内排出。
CASE_0007,884533,endpoint,6,5124821,0.7793,0.7793,0,zh,─ ─ ─ ─ ─ ─ ─ 乙状结肠是结肠的短弯曲部分，就在直肠之前。结肠去除水、盐和一些形成粪便的营养物质。肌肉排列在结肠壁上，挤压其内容物。数十亿细菌覆盖结肠及其内容物，与身体保持健康平衡。结肠也称为大肠。回肠（小肠的最后一部分）连接到右下腹部的盲肠（结肠的第一部分）。结肠的其余部分分为四个部分：
CASE_0007,884533,endpoint,7,6086584,0.7761,0.7761,0,zh,主页 > 消化系统 > 下躯干消化系统 > 肠道 > 乙状结肠。乙状结肠是大肠的一个弯曲的 S 形区域，是结肠的最后一段。它将粪便从降结肠运送到直肠和肛门。粪便储存在乙状结肠中，直到它们准备好通过肛管排出体外。乙状结肠的肠壁在从粪便中吸收水分、营养和维生素方面也起着很小的作用。
CASE_0007,884533,endpoint,8,352863,0.7745,0.7745,0,zh,乙状结肠。乙状结肠（骨盆结肠）是大肠中最靠近直肠和肛门的部分。它形成一个平均长度约为 35-40 厘米的环。循环的形状通常像希腊字母 sigma (Ãƒ Ã‚â€š) 或拉丁字母 S（因此是 sigma + -oid）。
CASE_0007,884533,endpoint,9,6086587,0.7725,0.7725,0,zh,[在维基数据上编辑] 乙状结肠（盆腔结肠）是大肠中最靠近直肠和肛门的部分。它形成一个平均长约 40 厘米的环。循环的形状通常像希腊字母 sigma (Ãƒ Ã‚â€š) 或拉丁字母 S（因此是 sigma + -oid）。
CASE_0007,884533,endpoint,10,5297238,0.7712,0.7712,0,zh,乙状结肠（骨盆结肠）是大肠中最靠近直肠和肛门的部分。它形成一个平均长约 40 厘米的环，通常位于骨盆内，但由于其活动自如，它很容易被移入腹腔。
CASE_0007,884533,mixed,1,6086587,0.7679,0.7679,0,zh,[在维基数据上编辑] 乙状结肠（盆腔结肠）是大肠中最靠近直肠和肛门的部分。它形成一个平均长约 40 厘米的环。循环的形状通常像希腊字母 sigma (Ãƒ Ã‚â€š) 或拉丁字母 S（因此是 sigma + -oid）。
CASE_0007,884533,mixed,2,352863,0.7619,0.7619,0,zh,乙状结肠。乙状结肠（骨盆结肠）是大肠中最靠近直肠和肛门的部分。它形成一个平均长度约为 35-40 厘米的环。循环的形状通常像希腊字母 sigma (Ãƒ Ã‚â€š) 或拉丁字母 S（因此是 sigma + -oid）。
CASE_0007,884533,mixed,3,2378491,0.7608,0.7608,0,zh,乙状结肠是大肠的末端，离直肠最近。肠道的这部分呈 S 形环的形式，通常长约 16 英寸（40.64 厘米）。
CASE_0007,884533,mixed,4,6920468,0.7588,0.7588,0,zh,它是结肠的一部分，向下穿过左胁肋。它还穿过腰部区域并沿着左肾的一侧最终与乙状结肠相连。
CASE_0007,884533,mixed,5,31718,0.7573,0.7573,1,zh,乙状结肠是降结肠之后、直肠之前的大肠部分。名称 sigmoid 的意思是 S 形（见 sigmoid；参见 sigmoid 窦）。乙状结肠壁肌肉发达，收缩以增加结肠内的压力，导致粪便进入直肠。
CASE_0007,884533,mixed,6,3937056,0.7555,0.7555,0,zh,乙状结肠是大肠的末端，离直肠最近。肠道的这部分呈 S 形环的形式，通常长约 16 英寸（40.64 厘米）。它能够根据储存的粪便量膨胀和收缩，直到准备好从体内排出。
CASE_0007,884533,mixed,7,6028403,0.7539,0.7539,0,zh,乙状结肠是大肠的一个弯曲的 S 形区域，是结肠的最后一段。它将粪便从降结肠运送到直肠和肛门。粪便储存在乙状结肠中，直到它们准备好通过肛管排出体外。
CASE_0007,884533,mixed,8,7269093,0.7519,0.7519,0,zh,乙状结肠是憩室炎最常见的器官。虽然憩室可以在消化道或胃肠 (GI) 道的任何地方形成，但大多数憩室形成于大肠最狭窄的部分，即乙状结肠。乙状结肠是连接降结肠和直肠的大肠的一部分。 sigmoid 这个名字指的是肠道这部分的 S 形，长约 18 英寸（45 厘米）。结肠和大肠的其余部分一样，负责从身体废物中吸收水分并将其分解，以便完成消化系统的旅程。
CASE_0007,884533,mixed,9,5297238,0.7505,0.7505,0,zh,乙状结肠（骨盆结肠）是大肠中最靠近直肠和肛门的部分。它形成一个平均长约 40 厘米的环，通常位于骨盆内，但由于其活动自如，它很容易被移入腹腔。
CASE_0007,884533,mixed,10,4235202,0.7504,0.7504,0,zh,乙状结肠 乙状结肠是降结肠之后和直肠之前的大肠部分。名称 sigmoid 的意思是 S 形（见 sigmoid）。乙状结肠的壁是肌肉发达的，收缩以增加结肠内的压力，导致粪便进入直肠。
CASE_0007,1000678,endpoint,1,7262611,0.7226,0.7226,1,zh,詹姆斯库克 (1728 年 - 1779 年) 一位航海家、测量员和探险家，在 1768 年至 1779 年期间担任过三次太平洋探险队的队长。他调查了新西兰和澳大利亚东部的海岸，并探索了部分地区南极洲的海岸。他能够证明所谓的“大南大陆”不存在。
CASE_0007,1000678,endpoint,2,2619434,0.7226,0.7226,0,zh,詹姆斯·库克 (James Cook) 的第一艘船环绕新西兰并驶过澳大利亚东海岸，名为“奋进号”。詹姆斯·库克的主要探索可以说是他的第一次远征。在库克于 1768 年出发的第一次旅程中，他的任务是绘制金星凌日图。指挥着“奋进号”，库克继续寻找澳大利亚未知大陆，这是一片有人认为环绕极地延伸的伟大大陆。
CASE_0007,1000678,endpoint,3,8775163,0.7164,0.7164,0,zh,詹姆斯库克第一次航行的路线。詹姆斯·库克的第一次航行是 1768 年至 1771 年间，皇家海军和皇家学会乘坐“奋进号”号联合远征南太平洋。这是库克担任指挥官的三次太平洋航行中的第一次。第一次远征的目的将观察 1769 年金星凌日（当年 6 月 3 日），并寻找假定的 Terra Australis Incognita 或未知南方土地的证据。库克是三趟太平洋航行的指挥官。第一次探险的目的是观察 1769 年金星穿过太阳（当年 6 月 3 日）的情况，并寻找关于假定的 Terra Australis Incognita 或未知南方土地的证据.
CASE_0007,1000678,endpoint,4,576850,0.7162,0.7162,0,zh,詹姆斯库克 (1728-1779) 以：夏威夷群岛的发现而闻名。一位英国船长，他绕大西洋航行到太平洋。他与夏威夷群岛、澳大利亚、新西兰以及印度洋周围回到大西洋的居民取得了联系。他在夏威夷为王室服务时去世。
CASE_0007,1000678,endpoint,5,739573,0.7109,0.7109,0,zh,詹姆斯库克于 1728 年 10 月 27 日出生于英格兰约克郡克利夫兰的马顿，是一名海军上尉、航海家和探险家，他于 1770 年在他的船 HMB Endeavor 上发现并绘制了新西兰和澳大利亚的大堡礁.后来他反驳了传说中的南部大陆 Terra Australis 的存在。
