case_id,qid,condition,rank,docid,retrieval_score_raw,score,rel,doc_lang,snippet
CASE_0247,1006509,endpoint,1,843122,0.6072,0.6072,0,ar,"""كانت موسيقى البلوز في يوم من الأيام طريقة حياة ، ومجموعة متنوعة من الموسيقى ، وحركة شعرية ، وحالة ذهنية ، وتقليد فولكلوري ، وموقف أخلاقي ، وحتى نوع من الأسلوب النقدي التلقائي البديهي (Garon ، 1978). يصور البلوز البعد """"العلماني"""" للتجربة السوداء."""
CASE_0247,1006509,endpoint,2,4944902,0.5997,0.5997,0,ar,مودي بلوز هي فرقة موسيقى الروك الإنجليزية. برزوا في البداية وهم يعزفون موسيقى الإيقاع والبلوز ، لكن ألبومهم الثاني ، أيام المستقبل مرت ، الذي تم إصداره في عام 1967 ، كان عبارة عن اندماج موسيقى الروك مع الموسيقى الكلاسيكية وجعلهم روادًا في تطوير موسيقى الروك التقدمي.
CASE_0247,1006509,endpoint,3,5024507,0.5938,0.5938,0,ar,موسيقى البلوز هي نوع موسيقي بدأ في أواخر القرن التاسع عشر (ستينيات القرن التاسع عشر - زمن الحرب الأهلية) يغنيه الأمريكيون الأفارقة المستعبدون. جنبا إلى جنب مع الروحانيات ، (أغاني العمل - بدايات bࢠ€Â¦lues) يعتبر البلوز هو الجذر الموسيقي للأميركيين الأفارقة.
CASE_0247,1006509,endpoint,4,8221646,0.5885,0.5885,0,ar,Next (Sound) Soul music هي نوع موسيقي يجمع بين موسيقى الإيقاع والبلوز وموسيقى الإنجيل ، وقد نشأت في أواخر الخمسينيات من القرن الماضي في الولايات المتحدة. نشأ الإيقاع والبلوز (مزيج من موسيقى البلوز والجاز) في الأربعينيات من القرن الماضي كمجموعات صغيرة من الموسيقيين الأمريكيين من أصل أفريقي في الغالب
CASE_0247,1006509,endpoint,5,2665944,0.585,0.585,0,ar,غالبًا ما سخر البلوز من الخرافات القديمة. كانت موسيقى البلوز هي الموسيقى التصويرية للتقدم الاجتماعي والتسامح ، وقد تحدت طغيان الكنيسة ، ولهذا السبب ، تم شيطنتها. كانت موسيقى البلوز ، البوهيمية الأصل ، مكروهة من قبل البرجوازية. لقد كان تهديدًا للحكمة الفيكتورية. بحلول العشرينات من القرن الماضي في ذرو
CASE_0247,1006509,endpoint,6,7976810,0.583,0.583,0,ar,البلوز كشكل موسيقي يضم الثلثين والسابع بالارض ، ربما عام 1895 (على الرغم من رسميًا عام 1912 ، في WC Handy's Memphis Blues) ؛ بمعنى الاكتئاب ، يعود انخفاض الروح المعنوية إلى عام 1741 ، من الصفة. أزرق منخفض الروح ، أواخر 14 ج.
CASE_0247,1006509,endpoint,7,4450179,0.5793,0.5793,0,ar,البلوز: أسلوب حزين للموسيقى العلمانية الأفريقية الأمريكية ، يعتمد على شكل موسيقي / شعري بسيط. دلتا. بدأ البلوز في أوائل القرن العشرين. موسيقى البلوز الكلاسيكية في أواخر عشرينيات القرن الماضي ؛ الإيقاع والبلوز في الأربعينيات. آلة نحاسية: أداة معدنية قوية ذات فوهة وأنبوب يجب نفخها.
CASE_0247,1006509,endpoint,8,2550361,0.5787,0.5787,0,ar,موسيقى البلوز ، موسيقى شعبية علمانية أنشأها الأمريكيون السود في أوائل القرن العشرين. منذ نشأتها في الجنوب ، أصبحت أشكال البلوز البسيطة ولكن التعبيرية بحلول الستينيات من القرن الماضي أحد أهم التأثيرات على تطور الموسيقى الشعبية في جميع أنحاء الولايات المتحدة. ميسيسيبي جون هيرت ، ج. 1965.
CASE_0247,1006509,endpoint,9,2989964,0.5777,0.5777,0,ar,كان Boogie Woogie أول موسيقى بيانو حصرية تصدر حتى الآن من موسيقى البلوز. كان Boogie Woogie ، وهو مصطلح يستخدم لوصف عزف البيانو البلوز الذي ازدهر تقريبًا بين عامي 1920 و 1945 ، موسيقى شائعة للغاية في المساكن. يصف كلا المصطلحين ظاهرة حدثت في المساكن المزدحمة في شيكاغو وديترويت ونيويورك ، وفي كل مدينة
CASE_0247,1006509,endpoint,10,5024498,0.5771,0.5771,0,ar,موسيقى البلوز هي نوع من الأغاني الشعبية التي نشأت بين الأمريكيين السود في بداية القرن العشرين. موسيقى البلوز لها صوت حزن من الاستخدام المتكرر لنوتات البلوز. ࢠÂâ موسيقى البلوز هي أيضًا حالة من الاكتئاب وهو الاسم الذي يطلق على كل من الشكل الموسيقي ونوع الموسيقى الذي تم إنشاؤه في أعماق الجنوب للولايات
CASE_0247,1006509,mixed,1,7253087,0.6717,0.6717,1,ar,استمع مجانًا إلى The Moody Blues - مرت أيام المستقبل (يبدأ اليوم ، الفجر: الفجر شعور والمزيد). 7 مسارات (41:19). Days of Future Passed هو الألبوم الثاني والألبوم المفاهيمي الأول لفرقة الروك الإنجليزية The Moody Blues ، الذي صدر في ديسمبر 1967 في تسجيلات ديرام.
CASE_0247,1006509,mixed,2,7253090,0.6713,0.6713,0,ar,مرت أيام المستقبل. Days of Future Passed هو الألبوم الثاني والألبوم المفاهيمي الأول لفرقة الروك الإنجليزية The Moody Blues ، صدر في نوفمبر 1967 بواسطة Deram Records. مع اندماجها بين العناصر الأوركسترالية والصخرية ، تم الاستشهاد بها كأحد الأمثلة الأولى على الصخور التقدمية.
CASE_0247,1006509,mixed,3,7253093,0.6619,0.6619,0,ar,16 فبراير 2017. لوس أنجلوس ، كاليفورنيا (16 فبراير 2017) ¢ سيطلق The Moody Blues جولة حية خاصة للاحتفال بالذكرى الخمسين لألبومهم الشهير ، DAYS OF FUTURE PASSED ، الذي صدر في الأصل عام 1967.
CASE_0247,1006509,mixed,4,2514865,0.6525,0.6525,0,ar,Days of Future Passed هو عنوان ألبوم مفاهيمي مذهل أصدره Moody Blues في عام 1967. المفهوم عبارة عن سلسلة من الأغاني التي تأخذ المستمع خلال يوم عمل واحد. *** SPOILERS SPOILERS SPOILERS ***.
CASE_0247,1006509,mixed,5,4944902,0.6307,0.6307,0,ar,مودي بلوز هي فرقة موسيقى الروك الإنجليزية. برزوا في البداية وهم يعزفون موسيقى الإيقاع والبلوز ، لكن ألبومهم الثاني ، أيام المستقبل مرت ، الذي تم إصداره في عام 1967 ، كان عبارة عن اندماج موسيقى الروك مع الموسيقى الكلاسيكية وجعلهم روادًا في تطوير موسيقى الروك التقدمي.
CASE_0247,1006509,mixed,6,7253085,0.6301,0.6301,0,ar,تم تقديمه منذ عام واحد بواسطة 7thHanyou. فضولي حقًا ، لأنني لست مهتمًا بالكتب المصورة. شاهدت واستمتعت بأول فيلمين من أفلام X-Men ، لكنني توقفت عن الاهتمام بعد الفيلم الثالث. Days of Future Passed هو عنوان الألبوم المؤثر Moody Blues لعام 1967 ، والذي يمكن القول أنه أول ألبوم موسيقى روك تقدمي حسن الني
CASE_0247,1006509,mixed,7,7253091,0.6068,0.6068,0,ar,أغنية The Moody Blues Nights In White Satin هي جزء من الألبوم التاريخي 1967 Days of Future Passed. ومع ذلك ، تمت كتابة الأغنية قبل أن تفكر الفرقة في القيام بأيام المستقبل.
CASE_0247,1006509,mixed,8,3932627,0.5833,0.5833,0,ar,مودي بلوز هي فرقة روك إنجليزية تشكلت في مايو 1964 في برمنغهام ، المملكة المتحدة. من بين ابتكاراتهم كان دمج موسيقى الروك مع الموسيقى الكلاسيكية ، وعلى الأخص في ألبومهم 1967 Days of Future Passed. مودي بلوز هي فرقة روك إنجليزية تشكلت في مايو 1964 في برمنغهام ، المملكة المتحدة. كان من بين ابتكاراتهم دم
CASE_0247,1006509,mixed,9,4138062,0.5596,0.5596,0,ar,اذهب الآن من خلال حقائق اغنية مودي بلوز. قبل أن يسجلها The Moody Blues ، كانت هذه أغنية روحية غامضة لبيسي بانكس ، التي أصدرتها في عام 1964. أنتج جيري ليبر ومايك ستولر تسجيلها ، وكتبه زوجها لاري بانكس.
CASE_0247,1006509,mixed,10,4430498,0.551,0.551,0,ar,في عام 1968 ، أصدروا ألبومًا بعنوان Children of the Future ، وهو الأول في سلسلة من الأقراص المتجذرة بقوة في أسلوب البلوز المخدر الذي سيطر بعد ذلك على مشهد سان فرانسيسكو. الكتابة في كراودادي! وصف بيتر نوبلر الألبوم بأنه لحظة ثلاثية من الخبرة والمعرفة والإلهام.
CASE_0247,1029772,endpoint,1,1519573,0.5896,0.5896,0,ar,مفتاح الرمز البريدي أو العنوان أو انقر على الخريطة. طبقة مضغوطة. تعرض هذه الصفحة خريطة Google مع تراكب من الرموز البريدية لـ Palm Beach Shores ، مقاطعة بالم بيتش ، فلوريدا. يمكن للمستخدمين بسهولة عرض حدود كل رمز بريدي. إرشادات الفهرس سياسة الخصوصية الخرائط الجديدة. بالم بيتش شورز ، مقاطعة بالم بيتش
CASE_0247,1029772,endpoint,2,7806922,0.5791,0.5791,0,ar,الرمز البريدي لشواطئ بحيرة موراي (ولاية SC). الرمز البريدي لـ Lake Murray Shores (SC) هو 29070. يمكنك العثور أدناه على خريطة Lake Murray Shores ، أو ابحث عن الرموز البريدية الأخرى في ساوث كارولينا أو ولايات أمريكية أخرى. إذا تم تكرار الرمز البريدي الخاص بـ Lake Murray Shores ، وكانت الأماكن الأخرى ل
CASE_0247,1029772,endpoint,3,2444908,0.5701,0.5701,0,ar,مرحبا بكم في USZip.com. USZip.com USZip.com هي خدمة بحث فورية عن الرمز البريدي تتميز بالبيانات الجغرافية والديموغرافية ومعدلات الجريمة والمعلومات التجارية والمعاهد التعليمية والطقس والخرائط التي يمكن استكشافها عن طريق الرمز البريدي أو اسم المدينة. 51360 هو الرمز البريدي الخاص بـ. بحيرة الروح ، IA. ا
CASE_0247,1029772,endpoint,4,163246,0.558,0.558,0,ar,مفتاح الرمز البريدي أو العنوان أو انقر على الخريطة. تعرض هذه الصفحة خريطة Google مع تراكب من الرموز البريدية لشاطئ ريفييرا ، مقاطعة بالم بيتش ، فلوريدا. يمكن للمستخدمين بسهولة عرض حدود كل رمز بريدي. ريفييرا بيتش ، مقاطعة بالم بيتش ، فلوريدا Zip Code Map Boundary الإصدار 3.0 حقوق الطبع والنشر © 1996-
CASE_0247,1029772,endpoint,5,3532660,0.5531,0.5531,0,ar,أغنى رمز بريدي في الولايات المتحدة ليس 90210 ، ولا حتى في المنطقة المجاورة. وفقًا لمجلة Forbes ، فإن الرمزين البريديين المرتبطين أولاً هما 07620 - Alpine ، NJ - و 33109 - Fisher Island ، Fla. 9. تمت إضافة ZIP + أربعة في عام 1983.
CASE_0247,1029772,endpoint,6,2954528,0.5524,0.5524,0,ar,يقع الرمز البريدي 13420 على بعد 0.1 كيلومتر من سلسلة بحيرات فولتون. يقع هذا المنزل الريفي المكون من عائلتين في Holiday Shores Estates الموجه للعائلات - على بعد ستة أميال شرق أولد فورج على بحيرة فورث. تفتخر Holiday Shores بأكثر من 300 قدم من الواجهة على بحيرة فورث مع زلاقات للقوارب وشاطئ رملي. كل نتا
CASE_0247,1029772,endpoint,7,1246787,0.5516,0.5516,0,ar,مفتاح الرمز البريدي أو العنوان أو انقر على الخريطة. تعرض هذه الصفحة خريطة Google مع تراكب من الرموز البريدية لـ Safety Harbour ، مقاطعة Pinellas ، فلوريدا. يمكن للمستخدمين بسهولة عرض حدود كل رمز بريدي. Safety Harbour ، مقاطعة Pinellas ، فلوريدا Zip Code Map Boundary الإصدار 3.0 حقوق الطبع والنشر © 1
CASE_0247,1029772,endpoint,8,1409476,0.551,0.551,0,ar,الرمز البريدي 83869 الوصف. يقع الرمز البريدي 83869 في ولاية أيداهو في منطقة مترو سبوكان. يقع الرمز البريدي 83869 بشكل أساسي في مقاطعة Kootenai. توجد أجزاء من 83869 أيضًا في مقاطعة بونر. الاسم الرسمي للخدمة البريدية الأمريكية لـ 83869 هو SPIRIT LAKE ، أيداهو. توجد أجزاء من الرمز البريدي 83869 داخل حد
CASE_0247,1029772,endpoint,9,2496188,0.5502,0.5502,0,ar,يقع الرمز البريدي 75140 على بعد 83.5 ميلاً من بحيرة رايت باتمان التاريخية المكونة من 3 غرف نوم وحمامين ونصف ، وممتلكات من طابقين مع فناء خلفي ضخم مسور. غرفة نوم رئيسية في الطابق السفلي مع حمام رئيسي ضخم مع حوض استحمام ودش.
CASE_0247,1029772,endpoint,10,3705669,0.5501,0.5501,0,ar,يقع الرمز البريدي 55769 على بعد 34 كم من بحيرة دير. كابينة تم تجديدها حديثًا في غابات الشمال البكر على بحيرة شمال مينيسوتا الجميلة. استمتع بكل ما يقدمه North Woods في راحة المقصورة الحديثة. الصيد وصيد الأسماك وركوب الدراجات والجري والتزلج على الجليد كلها في متناول يدك في هذا المكان ...
