case_id,qid,set,metric_source,ndcg10_end,ndcg10_mix,delta_ndcg10,recall10_end,recall10_mix,delta_recall10,first_rel_rank50_end,first_rel_rank50_mix,overlap10,overlap50,best_rel_rank_shift,token_count_a,token_count_b,len_ratio,endpoint_cos,r,delta_perp,cos_to_a,cos_to_b,doc_lang_mismatch_rate10_end,doc_lang_mismatch_rate10_mix,ascii_ratio10_end,ascii_ratio10_mix,label,text_a,text_b
CASE_0247,1006509,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,19,1,1,21,-18.0,9,9,1.0,0.7138553857803345,0.5,1.3654877228930218e-08,0.9257039026163282,0.9257039026163282,0.0,0.0,0.03573671926111532,0.1821918475417139,Unclassified,when did moody blues do days of future past,متى كانت موسيقى البلوز المزاجية تفعل أيام المستقبل الماضي
CASE_0247,1029772,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,2,19,-9998.0,8,8,1.0,0.5482740729018494,0.5,1.8702829507333263e-08,0.8798505674546858,0.8798506270593347,0.0,0.0,0.12868585412092842,0.24975819032645732,Unclassified,what is the zip code in arrowhead lakes,ما هو الرمز البريدي في بحيرات رأس السهم
CASE_0247,1039346,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,0,15,-9998.0,9,5,1.8,0.5307937860488892,0.5000000317582349,6.731705326501469e-08,0.8748695145170167,0.874869650776495,0.0,0.0,0.015800119387787682,0.14439793213662475,TranslationDivergence,who is the author of lamb to the slaughter,من هو صاحب الضأن للذبح
CASE_0247,1095542,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,30,1,3,23,-29.0,9,6,1.5,0.6980137825012207,0.500000049343855,6.215804404519076e-08,0.9214157123552361,0.9214157123552361,0.0,0.0,0.0,0.016363636363636365,Unclassified,how much rain does phoenix get in a year,كم تمطر طائر الفينيق في السنة
CASE_0247,1098102,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,11,1,7,40,-10.0,9,8,1.125,0.9102559685707092,0.5,7.287473735573258e-09,0.9773065344139066,0.977306473425214,0.0,0.0,0.01316392585742431,0.03610764880114725,Unclassified,how long does priority mail take to get delivered,كم من الوقت يستغرق تسليم البريد ذي الأولوية
CASE_0247,1098725,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,46,1,6,32,-45.0,7,5,1.4,0.6367143392562866,0.5,1.506375646442848e-08,0.9046309626485535,0.9046309626485535,0.0,0.0,0.0,0.012169312169312168,Unclassified,how long are the days on venus,كم هي الأيام على الزهرة
CASE_0247,1100218,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,15,1,0,16,-14.0,8,6,1.3333333333333333,0.6261084079742432,0.5,1.7422118858689828e-08,0.9016951751841874,0.9016951090813121,0.0,0.0,0.0025400493517684385,0.040030295722472076,Unclassified,are garbanzo beans a good source of fiber?,هل حبوب الحمص مصدر جيد للألياف؟
CASE_0247,21765,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,17,1,4,26,-16.0,6,6,1.0,0.687394540750655,0.5,1.554863793273853e-08,0.9185300759086055,0.9185299514126035,0.0,0.0,0.003947368421052632,0.007878787878787877,Unclassified,are comic books considered a genre,هي الكتب المصورة تعتبر نوعًا
CASE_0247,661945,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,45,1,3,27,-44.0,9,11,0.8181818181818182,0.8373390935265478,0.4999999541956257,4.744941861645202e-08,0.9584725599328379,0.9584724381410753,0.0,0.0,0.0,0.007794954981634299,Unclassified,what foods to avoid to increase your bad ldl,ما هي الأطعمة التي يجب تجنبها لزيادة سوء التغذية الخاصة بك
CASE_0247,686260,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,1,17,-9998.0,7,6,1.1666666666666667,0.5698727369308472,0.4999999653563899,5.428650950989322e-08,0.8859664012140972,0.8859662666612577,0.0,0.0,0.015687315032146137,0.029932297713073947,Unclassified,what is a ham hock in cooking,ما هو لحم الخنزير في الطبخ
CASE_0247,694560,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,45,1,3,14,-44.0,7,6,1.1666666666666667,0.5123371481895447,0.5,1.9919610849683522e-08,0.8695795580324083,0.8695795580324083,0.0,0.0,0.01579511992061683,0.03953827012978821,Unclassified,what is a phalanx in ancient greece?,ما هو كتيبة في اليونان القديمة؟
CASE_0247,801907,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,3,21,-9998.0,9,8,1.125,0.6097632646560669,0.5,1.602786348087193e-08,0.8971519651718024,0.8971520316094276,0.0,0.0,0.03573129408187912,0.07007732471619782,Unclassified,what is table associated for draw originals in sap,ما هو الجدول المرتبط برسم أصول في النسغ
CASE_0247,842272,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,36,1,6,33,-35.0,8,8,1.0,0.6631730794906616,0.5000000442398048,6.1264309181297e-08,0.9119137104507485,0.9119137104507485,0.0,0.0,0.0,0.0,Unclassified,what is the purpose of buttermilk in baking,ما هو الغرض من اللبن الرائب في الخبز
CASE_0247,927196,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,33,1,1,10,-32.0,12,11,1.0909090909090908,0.7201024127067573,0.5,1.5005840126036674e-08,0.9273894769153722,0.9273895365200269,0.0,0.0,0.027879151762167587,0.05812856712612994,Unclassified,what year did they start to require act exam for college admissions,في أي عام بدأوا في طلب امتحان قانون للقبول في الكلية
CASE_0247,952452,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,14,1,8,32,-13.0,8,6,1.3333333333333333,0.8248634830035855,0.5,1.226224899397721e-08,0.9552130026235176,0.9552129430188658,0.0,0.0,0.007513548268577202,0.026476511231540167,Unclassified,when is the best time to take priligy?,ما هو أفضل وقت لأخذ بريليجي؟
CASE_0247,953355,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,inf,1,1,17,-9998.0,8,6,1.3333333333333333,0.6268641726293667,0.5,1.6214464437780407e-08,0.9019047680099903,0.9019047615271188,0.0,0.0,0.015315315315315315,0.06703769454198638,Unclassified,when is the rib cook off in reno,متى يتم طهي الضلع في رينو
CASE_0247,991138,best,evaluate_perquery,0.0,100.0,100.0,0.0,100.0,100.0,25,1,5,32,-24.0,6,6,1.0,0.7075029015541077,0.5,1.535899407656416e-08,0.9239866710755812,0.9239866710755812,0.0,0.0,0.052059794774091485,0.10761257160563416,Unclassified,where is punta cana eden resort,أين هو منتجع بونتا كانا إيدن
CASE_0247,808716,best,evaluate_perquery,31.546487678572877,100.0,68.45351232142713,100.0,100.0,0.0,8,1,9,28,-7.0,7,6,1.1666666666666667,0.7739737629890442,0.5,1.3638615570243928e-08,0.9417997719099943,0.9417998351980092,0.0,0.0,0.014805876925260841,0.014805876925260841,Unclassified,what is the best treatment for melanoma,ما هو أفضل علاج لسرطان الجلد
