case_id,qid,condition,rank,docid,retrieval_score_raw,score,rel,doc_lang,snippet
CASE_0016,866139,endpoint,1,7762760,0.7692,0.7692,1,zh,股息和费用账户之间有什么区别？股息账户是用于记录支付给普通股等股票的资金的账户，这来自留存收益。费用账户是公司在计算股息之前必须维持运营并从收入中扣除的费用。
CASE_0016,866139,endpoint,2,7762766,0.7646,0.7646,0,zh,答案。最佳答案: 没什么。股息从留存收益中支付，因此当账簿关闭时，您将贷记股票股息账户并借记留存收益。它有点像在宣布股息时使用的临时持有账户。您永远不会在任何财务报表上看到股息或股票股息账户！！！！现在你会看到一个应付股息账户作为负债，但就像我说的，股息账户被关闭以留存收益！！！
CASE_0016,866139,endpoint,3,4326818,0.7547,0.7547,0,zh,股息是向股东支付的税后现金。资产负债表股东权益部分的留存收益账户持有累计利润，减去股息支付。
CASE_0016,866139,endpoint,4,4356535,0.7538,0.7538,0,zh,设置股息账户时，使用股权、留存收益或其他流动负债账户。这些显示了股息帐户的价值，并允许您将股息记入您的股东。创建股息帐户的最常见方法是将其设置为股票帐户。点击帐户列，然后从列表中选择留存收益帐户如果您使用留存收益账户来跟踪股息，则下拉列表。在借方栏中输入股息金额。
CASE_0016,866139,endpoint,5,1878057,0.7497,0.7497,0,zh,一些股息报告为股息，而其他股息实际上是利息。许多金融账户为您的储蓄产生利息或股息收入，同时让您通过支票轻松获得资金。
CASE_0016,866139,endpoint,6,981842,0.7439,0.7439,0,zh,股息是公司向其股东支付的款项，通常作为利润分配。当公司赚取利润或盈余时，它可以将其重新投资于业务（称为留存收益），并将此再投资的一小部分作为股息支付给股东。hus，如果一个人拥有 100 股并且现金股息为每股 50 美分，股票持有人将获得 50 美元。支付的股息不归类为费用，而是扣除留存收益。支付的股息不会出现在损益表中，但会出现在资产负债表上。
CASE_0016,866139,endpoint,7,6951500,0.7384,0.7384,0,zh,分解“资本红利账户-CDA”。当向股东支付资本红利时，这些红利无需纳税。资本股息账户是税收条款的一部分，其目标是使公司收到的资金免税，然后将其提供给股东，免税。或者这种类型的账户，资本股息是从已支付的资本而非留存收益。只要公司有这个账户，他们就可以指定适当数量的股息作为资本股息。
CASE_0016,866139,endpoint,8,1160618,0.7357,0.7357,0,zh,Freebase (1.00 / 1 票) 给这个定义打分：股息。股息是公司向其股东成员支付的款项。它是支付给股东的公司利润的一部分。当一家公司赚取利润或盈余时，这笔钱可以有两种用途：可以重新投资于业务，或者可以分配给股东。
CASE_0016,866139,endpoint,9,7884268,0.7329,0.7329,0,zh,股息是公司向其股东支付的款项，通常作为利润分配。当公司赚取利润或盈余时，公司能够将利润再投资于业务（称为留存收益），并将一定比例的利润作为股息支付给股东。对股东的分配可以是现金（通常是存入银行账户），或者，如果公司有股息再投资计划，则可以通过进一步发行股票或回购股票来支付。
CASE_0016,866139,endpoint,10,929034,0.7321,0.7321,0,zh,关于股息。股息是每股支付的普通股息，截至除息日报告。一般来说，业务运营的利润可以分配给留存收益或以股息或股票回购的形式支付给股东。股票所有者根据他们拥有的股份数量获得股息。如果股东拥有 MSFT 的五股股票，并且 MSFT 支付 1 美元的股息，则该股东将获得 5 美元。股息可以是特定于公司和增长的。
CASE_0016,866139,mixed,1,4326818,0.7478,0.7478,0,zh,股息是向股东支付的税后现金。资产负债表股东权益部分的留存收益账户持有累计利润，减去股息支付。
CASE_0016,866139,mixed,2,1160618,0.7459,0.7459,0,zh,Freebase (1.00 / 1 票) 给这个定义打分：股息。股息是公司向其股东成员支付的款项。它是支付给股东的公司利润的一部分。当一家公司赚取利润或盈余时，这笔钱可以有两种用途：可以重新投资于业务，或者可以分配给股东。
CASE_0016,866139,mixed,3,1878062,0.743,0.743,0,zh,报告滥用。是的，莉拉，分红是件好事。股息是他们在您拥有该帐户时（通常每月）支付给您的金额。股息基本上与在您的帐户上赚取利息相同。但是，现在银行支付的费用根本不是很多。马克 â€šâ€ 4 年前。
CASE_0016,866139,mixed,4,2356305,0.7422,0.7422,0,zh,股息是公司向其股东支付的款项，通常作为利润分配。当公司赚取利润或盈余时，它可以将其重新投资于业务（称为留存收益），并支付其中的一小部分再投资作为对股东的股息。ividend 只是分析出一部分利润，并按股息税率征税。如果股票价值增加，并且股东选择出售股票，股东将缴纳资本收益税（通常以低于普通收入的税率征税）。
CASE_0016,866139,mixed,5,1878057,0.7404,0.7404,0,zh,一些股息报告为股息，而其他股息实际上是利息。许多金融账户为您的储蓄产生利息或股息收入，同时让您通过支票轻松获得资金。
CASE_0016,866139,mixed,6,7884268,0.7401,0.7401,0,zh,股息是公司向其股东支付的款项，通常作为利润分配。当公司赚取利润或盈余时，公司能够将利润再投资于业务（称为留存收益），并将一定比例的利润作为股息支付给股东。对股东的分配可以是现金（通常是存入银行账户），或者，如果公司有股息再投资计划，则可以通过进一步发行股票或回购股票来支付。
CASE_0016,866139,mixed,7,981842,0.739,0.739,0,zh,股息是公司向其股东支付的款项，通常作为利润分配。当公司赚取利润或盈余时，它可以将其重新投资于业务（称为留存收益），并将此再投资的一小部分作为股息支付给股东。hus，如果一个人拥有 100 股并且现金股息为每股 50 美分，股票持有人将获得 50 美元。支付的股息不归类为费用，而是扣除留存收益。支付的股息不会出现在损益表中，但会出现在资产负债表上。
CASE_0016,866139,mixed,8,6359997,0.735,0.735,0,zh,股息是公司向其股东支付的款项，通常作为利润分配。当公司赚取利润或盈余时，它可以将其再投资于业务（称为留存收益），并将再投资的一小部分作为股息支付给股东。
CASE_0016,866139,mixed,9,598378,0.7349,0.7349,0,zh,股息是公司向其股东支付的款项，通常作为利润分配。当公司赚取利润或盈余时，它可以将其重新投资于业务（称为留存收益），并将利润的一小部分作为股息支付给股东。
CASE_0016,866139,mixed,10,7762766,0.734,0.734,0,zh,答案。最佳答案: 没什么。股息从留存收益中支付，因此当账簿关闭时，您将贷记股票股息账户并借记留存收益。它有点像在宣布股息时使用的临时持有账户。您永远不会在任何财务报表上看到股息或股票股息账户！！！！现在你会看到一个应付股息账户作为负债，但就像我说的，股息账户被关闭以留存收益！！！
CASE_0016,1087185,endpoint,1,7103898,0.6582,0.6582,1,zh,垃圾填埋场从来都不是一个漂亮的地方，也会滋生许多害虫和昆虫。焚化厂看起来就像任何其他工业结构。垃圾焚烧发电 (WTE) 焚烧厂有一个巨大的优势，它们可以发电，从长远来看有助于降低成本。每天 250 吨的焚化炉每天可以产生 6.5 兆瓦的电力，这本身每年可以节省约 300 万美元。
CASE_0016,1087185,endpoint,2,4985238,0.6553,0.6553,0,zh,优点。 1 不可再生资源便宜且易于使用。 2 你可以用少量的核能来产生大量的电力。 3 不可再生能源几乎没有竞争。 4 从一种能源转换为另一种能源时，它们被认为是便宜的。
CASE_0016,1087185,endpoint,3,4806048,0.6388,0.6388,0,zh,核。 1 燃料便宜。 2 能源生产是最集中的来源。 3 废物比任何来源都更紧凑。 4 循环的广泛科学基础。 5 作为新燃料易于运输。 6 无温室效应或酸雨效应。
CASE_0016,1087185,endpoint,4,5752422,0.6375,0.6375,0,zh,优点。 1 太阳能、风能、地热能、海洋能资源丰富，可免费使用。 2 我们正在使用的不可再生能源是有限的，而且总有一天会过期。 3 可再生能源的碳排放量低，因此被认为是绿色环保的。
CASE_0016,1087185,endpoint,5,7103899,0.6335,0.6335,0,zh,该研究还表明，与收集和燃烧垃圾填埋气的典型垃圾填埋场相比，将废物转化为能源具有环境效益。此外，当研究人员将这种方法应用于废物时，环境效益会更加显着，否则这些废物将被用于收集较少量甲烷的较小垃圾填埋场，而是释放大部分甲烷，Lee 说。
CASE_0016,1087185,endpoint,6,7103901,0.6333,0.6333,0,zh,Lee 的研究观察到，我们可以使用现有的收集和分离基础设施来收集废物原料，这进一步降低了废物衍生能源的成本。此外，根据美国能源部最近的一份报告，如果考虑倾倒费，废物原料的价格很低甚至是负价。 （垃圾填埋场的小费抵消了运营成本。）该研究还表明，与收集和……的典型垃圾填埋场相比，将废物转化为能源具有环境效益。
CASE_0016,1087185,endpoint,7,5911900,0.6315,0.6315,0,zh,优点： 1. 你是你自己的个人发电系统的主人......没有人必须保姆你，你可以控制你的命运。 2. 与传统发电厂相比，该系统产生的污染更少（但仅制造太阳能电池板就需要大量能源）。负面：1。
CASE_0016,1087185,endpoint,8,5199528,0.631,0.631,0,zh,核电的一大优势是它是无排放能源。由于核电站使用的燃料很少，核废料的体积比化石燃料发电厂的废料体积小得多。尽管核废料具有放射性，但其体积小，可以安全地从我们的社区中清除。核能的巨大优势power 是无排放的能源。由于核电厂使用的燃料如此之少，核废料的体积远小于化石燃料电厂产生的废料体积。尽管核废料具有放射性，但其体积小，可以安全地从我们的社区中清除。
CASE_0016,1087185,endpoint,9,8513279,0.6295,0.6295,0,zh,废物转化为能源：如何运作。垃圾发电使用垃圾作为发电燃料，就像其他发电厂使用煤炭、石油或天然气一样。燃烧的燃料将水加热成蒸汽，从而驱动涡轮机发电。该过程可以将社区的垃圾填埋量减少多达 90%，并防止每燃烧一吨废物释放一吨二氧化碳。
CASE_0016,1087185,endpoint,10,2151067,0.6295,0.6295,0,zh,核能的好处。核电的一大优势是它是无排放能源。由于核电厂使用的燃料如此之少，核废料的体积远小于化石燃料电厂产生的废料体积。尽管核废料具有放射性，但其体积小，可以安全地从我们的社区中清除。
CASE_0016,1087185,mixed,1,4985238,0.6759,0.6759,0,zh,优点。 1 不可再生资源便宜且易于使用。 2 你可以用少量的核能来产生大量的电力。 3 不可再生能源几乎没有竞争。 4 从一种能源转换为另一种能源时，它们被认为是便宜的。
CASE_0016,1087185,mixed,2,5752422,0.6714,0.6714,0,zh,优点。 1 太阳能、风能、地热能、海洋能资源丰富，可免费使用。 2 我们正在使用的不可再生能源是有限的，而且总有一天会过期。 3 可再生能源的碳排放量低，因此被认为是绿色环保的。
CASE_0016,1087185,mixed,3,4806048,0.6636,0.6636,0,zh,核。 1 燃料便宜。 2 能源生产是最集中的来源。 3 废物比任何来源都更紧凑。 4 循环的广泛科学基础。 5 作为新燃料易于运输。 6 无温室效应或酸雨效应。
CASE_0016,1087185,mixed,4,7103898,0.6633,0.6633,1,zh,垃圾填埋场从来都不是一个漂亮的地方，也会滋生许多害虫和昆虫。焚化厂看起来就像任何其他工业结构。垃圾焚烧发电 (WTE) 焚烧厂有一个巨大的优势，它们可以发电，从长远来看有助于降低成本。每天 250 吨的焚化炉每天可以产生 6.5 兆瓦的电力，这本身每年可以节省约 300 万美元。
CASE_0016,1087185,mixed,5,7940517,0.6628,0.6628,0,zh,可再生能源很重要，因为它提供了很多好处。主要优点是： 环境效益。可再生能源技术是清洁能源，与传统能源技术相比，对环境的影响要小得多。
CASE_0016,1087185,mixed,6,5199528,0.6616,0.6616,0,zh,核电的一大优势是它是无排放能源。由于核电站使用的燃料很少，核废料的体积比化石燃料发电厂的废料体积小得多。尽管核废料具有放射性，但其体积小，可以安全地从我们的社区中清除。核能的巨大优势power 是无排放的能源。由于核电厂使用的燃料如此之少，核废料的体积远小于化石燃料电厂产生的废料体积。尽管核废料具有放射性，但其体积小，可以安全地从我们的社区中清除。
CASE_0016,1087185,mixed,7,2151067,0.6602,0.6602,0,zh,核能的好处。核电的一大优势是它是无排放能源。由于核电厂使用的燃料如此之少，核废料的体积远小于化石燃料电厂产生的废料体积。尽管核废料具有放射性，但其体积小，可以安全地从我们的社区中清除。
CASE_0016,1087185,mixed,8,7103899,0.6598,0.6598,0,zh,该研究还表明，与收集和燃烧垃圾填埋气的典型垃圾填埋场相比，将废物转化为能源具有环境效益。此外，当研究人员将这种方法应用于废物时，环境效益会更加显着，否则这些废物将被用于收集较少量甲烷的较小垃圾填埋场，而是释放大部分甲烷，Lee 说。
CASE_0016,1087185,mixed,9,5139585,0.6585,0.6585,0,zh,核能的好处。核电的一大优势是它是无排放能源。由于核电站使用的燃料如此之少，核废料的体积比化石燃料发电厂的废料体积小得多。尽管核废料具有放射性，但它的小体积可以安全地从我们的社区中清除。因为核电厂使用如此少的燃料，核废料的体积比化石燃料发电厂的废料体积小得多。
